Date,Product,Category,Quantity,Price,Revenue
2026-01-05,Laptop,Electronics,2,55000,110000
2026-01-08,Mouse,Electronics,10,800,8000
2026-01-12,Keyboard,Electronics,5,1500,7500
2026-01-15,Monitor,Electronics,3,12000,36000
2026-01-20,Desk,Furniture,4,7000,28000
2026-01-25,Chair,Furniture,6,4500,27000
2026-02-02,Laptop,Electronics,1,55000,55000
2026-02-07,Mouse,Electronics,15,800,12000
2026-02-14,Desk,Furniture,2,7000,14000
2026-02-18,Chair,Furniture,8,4500,36000
2026-02-22,Monitor,Electronics,4,12000,48000
2026-02-28,Keyboard,Electronics,7,1500,10500
